Date,Open,High,Low,Close,Volume
03/13/2017,65010002,65190002,64570000,64709999,20100000
03/14/2017,64529999,64550003,64150002,64410004,14280200
03/15/2017,64550003,64919998,64250000,64750000,24833800
03/16/2017,64750000,64760002,64300003,64639999,20674300
03/17/2017,64910004,65239998,64680000,64870003,49219700
03/20/2017,64910004,65180000,64720001,64930000,14598100
03/21/2017,65190002,65500000,64129997,64209999,26640500
03/22/2017,64120003,65139999,64120003,65029999,20680000
03/23/2017,64940002,65239998,64769997,64870003,19269200
03/24/2017,65360001,65449997,64760002,64980003,22617100
03/27/2017,64629997,65220001,64349998,65099998,18614700
03/28/2017,64959999,65470001,64650002,65290001,20080400
03/29/2017,65120003,65500000,64949997,65470001,13618400
03/30/2017,65419998,65980003,65360001,65709999,15122800
03/31/2017,65650002,66190002,65449997,65860001,21040300
04/03/2017,65809998,65940002,65190002,65550003,20400900
04/04/2017,65389999,65809998,65279999,65730003,12997400
04/05/2017,66300003,66349998,65440002,65559998,21448600
04/06/2017,65599998,66059998,65480003,65730003,18103500
04/07/2017,65849998,65959999,65440002,65680000,14108500
04/10/2017,65610001,65820000,65360001,65529999,17952700
04/11/2017,65599998,65610001,64849998,65480003,18791500
04/12/2017,65419998,65510002,65110001,65230003,17108500
04/13/2017,65290001,65860001,64949997,64949997,17896500
04/17/2017,65040001,65489998,65010002,65480003,16689300
04/18/2017,65330002,65709999,65160004,65389999,15155600
04/19/2017,65650002,65750000,64889999,65040001,26992800
04/20/2017,65459999,65750000,65139999,65500000,22299500
04/21/2017,65669998,66699997,65449997,66400002,32522600
04/24/2017,67480003,67660004,67099998,67529999,29770000
04/25/2017,67900002,68040001,67599998,67919998,30242700
04/26/2017,68080002,68309998,67620003,67830002,26190800
04/27/2017,68150002,68379997,67580002,68269997,34971000
04/28/2017,68910004,69139999,67690002,68459999,39548800
05/01/2017,68680000,69550003,68500000,69410004,31954400
05/02/2017,69709999,69709999,69129997,69300003,23906100
05/03/2017,69379997,69379997,68709999,69080002,28928000
05/04/2017,69029999,69080002,68639999,68809998,21749400
05/05/2017,68900002,69029999,68489998,69000000,19128800
05/08/2017,68970001,69050003,68419998,68940002,18566100
05/09/2017,68860001,69279999,68680000,69040001,22858400
05/10/2017,68989998,69559998,68919998,69309998,17977800
05/11/2017,68360001,68730003,68120003,68459999,28789400
05/12/2017,68610001,68610001,68040001,68379997,18714100
05/15/2017,68139999,68480003,67570000,68430000,31530300
05/16/2017,68230003,69440002,68160004,69410004,34956000
05/17/2017,68889999,69099998,67430000,67480003,30548800
05/18/2017,67400002,68129997,67139999,67709999,25201300
05/19/2017,67500000,68099998,67430000,67690002,26961100
05/22/2017,67889999,68500000,67500000,68449997,16237600
05/23/2017,68720001,68750000,68379997,68680000,15425800
05/24/2017,68870003,68879997,68449997,68769997,14593900
05/25/2017,68970001,69879997,68910004,69620003,21854100
05/26/2017,69800003,70220001,69519997,69959999,19827900
05/30/2017,69790001,70410004,69769997,70410004,17072800
05/31/2017,70529999,70739998,69809998,69839996,30436400
06/01/2017,70239998,70610001,69449997,70099998,21603600
06/02/2017,70440002,71860001,70239998,71760002,34770300
06/05/2017,71970001,72889999,71809998,72279999,33316800
06/06/2017,72300003,72620003,72269997,72519997,31511100
06/07/2017,72639999,72769997,71949997,72389999,22301800
06/08/2017,72510002,72519997,71500000,71949997,24588300
06/09/2017,72040001,72080002,68589996,70320000,49187400
06/12/2017,69250000,69940002,68129997,69779999,47761700
06/13/2017,70019997,70820000,69959999,70650002,25258600
06/14/2017,70910004,71099998,69430000,70269997,25510700
06/15/2017,69269997,70209999,68800003,69900002,26068700
06/16/2017,69730003,70029999,69220001,70000000,48345100
06/19/2017,70500000,70940002,70349998,70870003,23798300
06/20/2017,70820000,70870003,69870003,69910004,21512200
06/21/2017,70209999,70620003,69940002,70269997,19891100
